dat;powiat;nc
2020-04-30;pucki;0
2020-04-30;wejherowski;1
2020-04-30;starogardzki;0
2020-04-30;chojnicki;0
2020-04-30;sztumski;0
2020-04-30;kwidzyński;0
2020-04-30;kościerski;0
2020-04-30;nowodworski;0
2020-04-30;słupski;0
2020-04-30;lęborski;0
2020-04-30;człuchowski;0
2020-05-01;Gdynia;0
2020-05-01;Gdańsk;3
2020-05-01;Słupsk;0
2020-05-01;Sopot;0
2020-05-01;tczewski;1
2020-05-01;gdański;0
2020-05-01;kartuski;0
2020-05-01;bytowski;0
2020-05-01;malborski;0
2020-05-01;pucki;0
2020-05-01;wejherowski;0
2020-05-01;starogardzki;2
2020-05-01;chojnicki;0
2020-05-01;sztumski;0
2020-05-01;kwidzyński;0
2020-05-01;kościerski;0
2020-05-01;nowodworski;0
2020-05-01;słupski;0
2020-05-01;lęborski;0
2020-05-01;człuchowski;0
2020-05-02;Gdynia;0
2020-05-02;Gdańsk;6
2020-05-02;Słupsk;0
2020-05-02;Sopot;0
2020-05-02;tczewski;0
2020-05-02;gdański;0
2020-05-02;kartuski;0
2020-05-02;bytowski;0
2020-05-02;malborski;0
2020-05-02;pucki;0
2020-05-02;wejherowski;0
2020-05-02;starogardzki;0
2020-05-02;chojnicki;0
2020-05-02;sztumski;0
2020-05-02;kwidzyński;0
2020-05-02;kościerski;0
2020-05-02;nowodworski;0
2020-05-02;słupski;0
2020-05-02;lęborski;0
2020-05-02;człuchowski;0
2020-05-03;Gdynia;0
2020-05-03;Gdańsk;0
2020-05-03;Słupsk;0
2020-05-03;Sopot;0
2020-05-03;tczewski;0
2020-05-03;gdański;0
2020-05-03;kartuski;4
2020-05-03;bytowski;0
2020-05-03;malborski;0
2020-05-03;pucki;0
2020-05-03;wejherowski;0
2020-05-03;starogardzki;0
2020-05-03;chojnicki;0
2020-05-03;sztumski;0
2020-05-03;kwidzyński;0
2020-05-03;kościerski;0
2020-05-03;nowodworski;0
2020-05-03;słupski;0
2020-05-03;lęborski;0
2020-05-03;człuchowski;0
2020-05-04;Gdynia;0
2020-05-04;Gdańsk;0
2020-05-04;Słupsk;0
2020-05-04;Sopot;0
2020-05-04;tczewski;0
2020-05-04;gdański;0
2020-05-04;kartuski;0
2020-05-04;bytowski;0
2020-05-04;malborski;0
2020-05-04;pucki;0
2020-05-04;wejherowski;0
2020-05-04;starogardzki;0
2020-05-04;chojnicki;0
2020-05-04;sztumski;0
2020-05-04;kwidzyński;0
2020-05-04;kościerski;0
2020-05-04;nowodworski;0
2020-05-04;słupski;0
2020-05-04;lęborski;0
2020-05-04;człuchowski;0
2020-05-05;Gdynia;0
2020-05-05;Gdańsk;2
2020-05-05;Słupsk;0
2020-05-05;Sopot;0
2020-05-05;tczewski;0
2020-05-05;gdański;0
2020-05-05;kartuski;0
2020-05-05;bytowski;0
2020-05-05;malborski;0
2020-05-05;pucki;0
2020-05-05;wejherowski;4
2020-05-05;starogardzki;0
2020-05-05;chojnicki;0
2020-05-05;sztumski;0
2020-05-05;kwidzyński;0
2020-05-05;kościerski;0
2020-05-05;nowodworski;0
2020-05-05;słupski;0
2020-05-05;lęborski;0
2020-05-05;człuchowski;0
2020-05-06;Gdynia;0
2020-05-06;Gdańsk;7
2020-05-06;Słupsk;0
2020-05-06;Sopot;0
2020-05-06;tczewski;1
2020-05-06;gdański;0
2020-05-06;kartuski;0
2020-05-06;bytowski;0
2020-05-06;malborski;0
2020-05-06;pucki;0
2020-05-06;wejherowski;0
2020-05-06;starogardzki;1
2020-05-06;chojnicki;0
2020-05-06;sztumski;0
2020-05-06;kwidzyński;0
2020-05-06;kościerski;0
2020-05-06;nowodworski;0
2020-05-06;słupski;0
2020-05-06;lęborski;0
2020-05-06;człuchowski;0
2020-05-07;Gdynia;0
2020-05-07;Gdańsk;4
2020-05-07;Słupsk;0
2020-05-07;Sopot;0
2020-05-07;tczewski;1
2020-05-07;gdański;0
2020-05-07;kartuski;0
2020-05-07;bytowski;0
2020-05-07;malborski;0
2020-05-07;pucki;0
2020-05-07;wejherowski;1
2020-05-07;starogardzki;0
2020-05-07;chojnicki;0
2020-05-07;sztumski;0
2020-05-07;kwidzyński;0
2020-05-07;kościerski;0
2020-05-07;nowodworski;0
2020-05-07;słupski;0
2020-05-07;lęborski;0
2020-05-07;człuchowski;0
2020-05-08;Gdynia;2
2020-05-08;Gdańsk;4
2020-05-08;Słupsk;0
2020-05-08;Sopot;0
2020-05-08;tczewski;0
2020-05-08;gdański;0
2020-05-08;kartuski;0
2020-05-08;bytowski;0
2020-05-08;malborski;0
2020-05-08;pucki;1
2020-05-08;wejherowski;2
2020-05-08;starogardzki;0
2020-05-08;chojnicki;0
2020-05-08;sztumski;0
2020-05-08;kwidzyński;0
2020-05-08;kościerski;0
2020-05-08;nowodworski;0
2020-05-08;słupski;0
2020-05-08;lęborski;0
2020-05-08;człuchowski;0
2020-05-09;Gdynia;0
2020-05-09;Gdańsk;0
2020-05-09;Słupsk;0
2020-05-09;Sopot;0
2020-05-09;tczewski;0
2020-05-09;gdański;0
2020-05-09;kartuski;0
2020-05-09;bytowski;0
2020-05-09;malborski;0
2020-05-09;pucki;0
2020-05-09;wejherowski;0
